"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"Cijk_Ailk_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT96x96x32_MI16x16x1_SN_LDSB0_AFC1_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSUAMB_GLS0_ISA1151_IU1_K1_LBSPPA3072_LBSPPB128_LBSPPM0_LPA16_LPB16_LPM0_LRVW16_LWPMn1_MIAV1_MIWT3_3_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA3_NLCB1_ONLL1_PGR2_PLR1_PKA0_SIA3_SS1_SPO0_SRVW0_SSO0_SVW1_SK0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA1_VWB1_WSGRA0_WSGRB0_WS32_WG32_4_1.kd",65,8453269,130050,0.3284203743650042
"triton_poi_fused__to_copy__unsafe_view_add_cat_clone_mul_slice_sub_transpose_unsqueeze_view_5.kd",312,8164352,26167,0.3171955772716651
"triton_poi_fused__unsafe_view_clone_transpose_view_3.kd",312,7553787,24210,0.29347434163203634
"triton_poi_fused__to_copy_add_copy__ge_mul_sub_12.kd",26,7119753,273836,0.27661156241997764
"triton_poi_fused_add_mul_4.kd",52,7023316,135063,0.27286486091992623
"triton_poi_fused_add_mul_10.kd",26,6598196,253776,0.2563484020742358
"triton_per_fused__to_copy_add_mul_native_dropout_native_dropout_backward_native_layer_norm_backward_select_sum_view_28.kd",13,6389556,491504,0.2482424696938142
"triton_poi_fused__unsafe_view_clone_transpose_view_15.kd",364,6360685,17474,0.24712079420610736
"triton_per_fused__to_copy_add_mul_native_dropout_native_dropout_backward_native_layer_norm_backward_select_sum_view_30.kd",13,6344677,488052,0.246498862814496
"triton_per_fused__to_copy_add_mul_native_dropout_native_dropout_backward_native_layer_norm_backward_select_sum_view_25.kd",13,5824001,448000,0.22626993045201318
"triton_per_fused__to_copy_add_embedding_dense_backward_mul_native_dropout_native_dropout_backward_native_layer_norm_native_layer_norm_backward_nll_loss_forward_select_sum_view_32.kd",13,5691802,437830,0.22113382925013741
"triton_red_fused__to_copy_lerp_linalg_vector_norm_rsub_0.kd",26,5497745,211451,0.21359446517830324
"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>) [clone .kd]",196,5460489,27859,0.21214702165469804
"triton_poi_fused__to_copy__unsafe_view_add_cat_clone_mul_select_slice_sub_transpose_unsqueeze_view_17.kd",52,5362608,103127,0.20834421889718246
"triton_per_fused__to_copy_clone_mul_sum_transpose_view_9.kd",52,5292008,101769,0.20560131808210497
"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::silu_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::(anonymous namespace)::silu_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>) [clone .kd]",28,5219807,186421,0.20279621635760905
"triton_poi_fused__to_copy__unsafe_view_add_cat_clone_mul_select_slice_sub_transpose_unsqueeze_view_4.kd",312,4923251,15779,0.19127463428797561
"triton_poi_fused__to_copy_add_copy__div_lerp_linalg_vector_norm_mul_rsub_2.kd",26,4678402,179938,0.18176193568073895
"bwd_preprocess.kd",364,4467561,12273,0.17357049161909938
"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float, false>(int, float, float const*, float const*, float const*, float*, float*, float*) [clone .kd]",57,4282013,75123,0.16636171314266882
"triton_poi_fused_add_mul_2.kd",26,4176369,160629,0.16225730784935372
"void at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int, bool)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int, bool)#1}) [clone .kd]",60,3961774,66029,0.15392001605882177
"triton_poi_fused_clone_transpose_6.kd",364,3922855,10777,0.15240796284604555
"triton_red_fused__to_copy_add_native_layer_norm_backward_slice_backward_view_17.kd",52,3760692,72321,0.14610772170050149
"triton_per_fused__to_copy_add_mean_mul_pow_10.kd",26,3525061,135579,0.1369531542506782
"triton_per_fused__to_copy__unsafe_view_add_mul_native_dropout_native_layer_norm_native_layer_norm_backward_select_31.kd",13,3415300,262715,0.132688798211532
"triton_per_fused__to_copy__unsafe_view_add_mul_native_dropout_native_layer_norm_native_layer_norm_backward_select_28.kd",13,3376497,259730,0.13118125174797035
"triton_per_fused__to_copy__unsafe_view_add_mul_native_dropout_native_layer_norm_native_layer_norm_backward_select_23.kd",13,3375300,259638,0.1311347467582303
"triton_per_fused__to_copy__unsafe_view_add_mul_native_dropout_native_layer_norm_native_layer_norm_backward_select_22.kd",13,3359658,258435,0.13052703493741669
"triton_poi_fused__to_copy__unsafe_view_add_clone_embedding_mul_select_sigmoid_transpose_unsqueeze_view_16.kd",52,3310740,63668,0.12862650771260137
"triton_per_fused__to_copy__unsafe_view_add_mul_native_dropout_native_layer_norm_native_layer_norm_backward_select_12.kd",13,3304899,254223,0.128399577349133
"triton_per_fused__to_copy__unsafe_view_add_mul_native_dropout_native_layer_norm_native_layer_norm_backward_select_18.kd",13,3301538,253964,0.1282689981757693
"triton_per_fused__to_copy__unsafe_view_add_mul_native_dropout_native_layer_norm_native_layer_norm_backward_select_26.kd",13,3268256,251404,0.12697594966404965
"triton_per_fused__to_copy__unsafe_view_add_mul_native_dropout_native_layer_norm_native_layer_norm_backward_select_33.kd",13,3266177,251244,0.12689517783976428
"triton_per_fused__to_copy__unsafe_view_add_mul_native_dropout_native_layer_norm_native_layer_norm_backward_select_35.kd",13,3266097,251238,0.12689206973685768
"triton_per_fused__to_copy__unsafe_view_add_mul_native_dropout_native_layer_norm_native_layer_norm_backward_select_25.kd",13,3261183,250860,0.12670115451581956
"triton_per_fused__to_copy__unsafe_view_add_mul_native_dropout_native_layer_norm_native_layer_norm_backward_select_36.kd",13,3260739,250826,0.12668390454468792
"triton_per_fused__to_copy__unsafe_view_add_mul_native_dropout_native_layer_norm_native_layer_norm_backward_select_27.kd",13,3250699,250053,0.1262938376299092
"triton_per_fused__to_copy__unsafe_view_add_mul_native_dropout_native_layer_norm_native_layer_norm_backward_select_19.kd",13,3233017,248693,0.12560686918497718
"triton_per_fused__to_copy__unsafe_view_add_mul_native_dropout_native_layer_norm_native_layer_norm_backward_select_38.kd",13,3231739,248595,0.12555721724104418
"triton_per_fused__to_copy__unsafe_view_add_mul_native_dropout_native_layer_norm_native_layer_norm_backward_select_32.kd",13,3230977,248536,0.1255276125608588
"triton_poi_fused__to_copy_t_1.kd",728,3227537,4433,0.12539396413587486
"triton_per_fused__to_copy__unsafe_view_add_mul_native_dropout_native_layer_norm_native_layer_norm_backward_select_40.kd",13,3222700,247900,0.12520604046388434
"triton_poi_fused__to_copy_add_copy__ge_mul_sub_14.kd",26,3216498,123711,0.12496508478604991
"triton_per_fused__to_copy__unsafe_view_add_mul_native_dropout_native_layer_norm_native_layer_norm_backward_select_21.kd",13,3210339,246949,0.12472579971352779
"triton_per_fused__to_copy__unsafe_view_add_mul_native_dropout_native_layer_norm_native_layer_norm_backward_select_39.kd",13,3206017,246616,0.12455788445399854
"triton_per_fused__to_copy__unsafe_view_add_mul_native_dropout_native_layer_norm_native_layer_norm_backward_select_24.kd",13,3195257,245789,0.12413984461306038
"triton_per_fused__to_copy__unsafe_view_add_mul_native_dropout_native_layer_norm_native_layer_norm_backward_select_41.kd",13,3195098,245776,0.1241336672585335
"triton_per_fused__to_copy__unsafe_view_add_mul_native_dropout_native_layer_norm_native_layer_norm_backward_select_34.kd",13,3192379,245567,0.12402803061099532
"triton_per_fused__to_copy__unsafe_view_add_mul_native_dropout_native_layer_norm_native_layer_norm_backward_select_29.kd",13,3185219,245016,0.12374985540085433
"triton_per_fused__to_copy__unsafe_view_add_mul_native_dropout_native_layer_norm_native_layer_norm_backward_select_30.kd",13,3151061,242389,0.12242277316230733
"triton_per_fused__to_copy__unsafe_view_add_mul_native_dropout_native_layer_norm_native_layer_norm_backward_select_37.kd",13,3132258,240942,0.12169225242539654
"triton_per_fused__to_copy__unsafe_view_add_mul_native_dropout_native_layer_norm_native_layer_norm_backward_select_13.kd",13,3126422,240494,0.12146551631835983
"triton_per_fused__to_copy__unsafe_view_add_mul_native_dropout_native_layer_norm_native_layer_norm_backward_select_20.kd",13,3104381,238798,0.12060919511630426
"void at::native::(anonymous namespace)::cunn_SoftMaxForwardSmem<4, float, float, float, at::native::(anonymous namespace)::LogSoftMaxForwardEpilogue, long>(float*, float const*, long) [clone .kd]",1,2898860,2898860,0.11262443989795382
"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1224,2750739,2247,0.1068697485150913
"triton_per_fused__to_copy__unsafe_view_add_mul_native_dropout_native_layer_norm_native_layer_norm_backward_select_10.kd",13,2706263,208174,0.10514179870416515
"triton_per_fused__to_copy__unsafe_view_add_mul_native_dropout_native_layer_norm_native_layer_norm_backward_select_7.kd",13,2590664,199281,0.10065062885540958
"triton_poi_fused__to_copy_4.kd",1092,2586619,2368,0.10049347540219446
"triton_poi_fused__to_copy__unsafe_view_clone_embedding_dense_backward_mul_nll_loss_forward_sigmoid_transpose_unsqueeze_19.kd",52,2571982,49461,0.09992480912414503
"triton_per_fused__to_copy_native_layer_norm_backward_view_3.kd",1482,2289267,1544,0.08894096770864031
"void at::native::(anonymous namespace)::CatArrayBatchedCopy_contig<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 4, 128, 1>(at::native::(anonymous namespace)::OpaqueType<4u>*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int) [clone .kd]",56,2210827,39479,0.08589347280871568
"triton_poi_fused__to_copy_t_2.kd",364,2149108,5904,0.0834956102675575
"triton_per_fused__to_copy_add_embedding_mul_native_dropout_native_layer_norm_select_0.kd",13,2111505,162423,0.08203468534759491
"triton_per_fused__to_copy_add_native_dropout_backward_native_layer_norm_backward_view_6.kd",13,1954588,150352,0.07593825805015135
"triton_per_fused__to_copy__unsafe_view_add_native_dropout_native_layer_norm_native_layer_norm_backward_42.kd",13,1674827,128832,0.06506918333447297
"void at::native::(anonymous namespace)::fused_dropout_kernel_vec<float, float, unsigned int, 1, 4, bool>(at::cuda::detail::TensorInfo<float const, unsigned int>, at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<bool, unsigned int>, unsigned int, float, at::PhiloxCudaState) [clone .kd]",57,1572870,27594,0.06110802273386594
"triton_poi_fused__to_copy_8.kd",728,1419713,1950,0.055157676273032745
"Cijk_Ailk_Bjlk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT64x16x32_MI16x16x1_SN_LDSB0_AFC1_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB1_GSUAMB_GLS0_ISA1151_IU1_K1_LBSPPA2048_LBSPPB512_LBSPPM0_LPA16_LPB16_LPM0_LRVW16_LWPMn1_MIAV1_MIWT1_1_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA0_SIA3_SS1_SPO0_SRVW0_SSO0_SVW1_SK0_SKXCCM0_TLDS0_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA1_VWB1_WSGRA0_WSGRB0_WS32_WG64_2_1.kd",52,1287629,24762,0.05002604296908522
"triton_poi_fused__to_copy_add_clone_select_backward_transpose_13.kd",52,1272791,24476,0.04944956758248296
"Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT64x16x64_MI16x16x1_SN_LDSB0_AFC1_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA1_GRVWB8_GSUAMB_GLS0_ISA1151_IU1_K1_LBSPPA128_LBSPPB128_LBSPPM0_LPA16_LPB16_LPM0_LRVW16_LWPMn1_MIAV1_MIWT1_1_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA0_SIA3_SS1_SPO0_SRVW0_SSO0_SVW1_SK0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA1_VWB1_WSGRA0_WSGRB0_WS32_WG64_2_1.kd",52,1242789,23899,0.04828395128993402
"triton_poi_fused_add_mul_3.kd",52,1229708,23648,0.04777573761341803
"triton_poi_fused__to_copy_t_43.kd",13,1173354,90258,0.045586312223433935
"triton_poi_fused__to_copy_native_layer_norm_slice_15.kd",52,1135670,21839,0.04412224034927841
"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<long>, std::array<char*, 1ul> >(int, at::native::FillFunctor<long>, std::array<char*, 1ul>) [clone .kd]",784,1106990,1411,0.043007985457261096
"triton_poi_fused_add_mul_5.kd",52,1089191,20945,0.04231647141182817
"triton_poi_fused_add_mul_7.kd",52,1080393,20776,0.041974657794674464
"triton_poi_fused_add_mul_9.kd",52,1072192,20619,0.04165603839546128
